"phenotype","symbol"
"Brachyolmia 4 with mild epiphyseal and metaphyseal changes, 612847 (3)","PAPSS2"
"Chromosome 13q14 deletion syndrome (4)","C13DELq14"
"Ehlers-Danlos syndrome, arthrochalasia type, 1, 130060 (3)","OI4"
"Oculodentodigital dysplasia, autosomal recessive, 257850 (3)","EKVP3"
"{Renal cell carcinoma}, 144700 (3)","MODY5"
"Atrial standstill, digenic (GJA5/SCN5A), 108770 (3)","GJA5"
"Watson syndrome, 193520 (3)","WSS"
"?Rolandic epilepsy, mental retardation, and speech dyspraxia, 300643 (3)","RESDX"
"Osteoporosis-pseudoglioma syndrome, 259770 (3)","PCLD4"
"Symphalangism, proximal, 1B, 615298 (3)","CDMP1"
"Auditory neuropathy and optic atrophy, 617717 (3)","FDXR"
"Deafness, autosomal dominant 51 (4)","DUP9q21.11"
"Rett syndrome, congenital variant, 613454 (3)","FKHL1"
"Telangiectasia, hereditary hemorrhagic, type 4 (2)","HHT4"
"Leukemia, acute myeloid, therapy-related (1)","MSF1"
"Neuroblastoma, 256700 (3)","NM23"
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 4, 610131 (3)","PEOA4"
"Myasthenic syndrome, congenital, 4A, slow-channel, 605809 (3)","CMS4C"
"Jackson-Weiss syndrome, 123150 (3)","HRTFDS"
"Epidermolysis bullosa, junctional, non-Herlitz type, 226650 (3)","LAMB2T"
"Nephronophthisis 20, 617271 (3)","MAPKBP1"
"Squamous cell carcinoma, head and neck, 275355 (3)","DR5"
"Obesity, hyperphagia, and developmental delay, 613886 (3)","OBHD"
"Adenosine triphosphate, elevated, of erythrocytes, 102900 (3)","PKLR"
"?XFE progeroid syndrome, 610965 (3)","FANCQ"
"{Celiac disease, susceptibility to, 9} (2)","CELIAC9"
"{Craniosynostosis 5, susceptibility to}, 615529 (3)","FND2"
"Chanarin-Dorfman syndrome, 275630 (3)","IECN2"
"Deafness, autosomal recessive 2, 600060 (3)","DFNA11"
"Deafness, dystonia, and cerebral hypomyelination, 300475 (3)","BCAP31"
"Gillessen-Kaesbach-Nishimura syndrome, 263210 (3)","ALG9"
"Insulin resistance, severe, digenic, 604367 (3)","PPARG2"
"Dystonia 28, childhood-onset, 617284 (3)","KMT2B"
"Emery-Dreifuss muscular dystrophy 3, autosomal recessive, 616516 (3)","LMNA"
"?Macular degeneration, age-related, 6, 613757 (3)","RAXL1"
"Ventricular tachycardia, idiopathic, 192605 (3)","GNAI2B"
"{Osteoporosis, early-onset, susceptibility to, autosomal dominant}, 615221 (3)","BMND16"
"Lissencephaly, X-linked 2, 300215 (3)","ISSX"
"Lung cancer, somatic, 211980 (3)","KRAS"
"Keratoderma, palmoplantar, with deafness, 148350 (3)","DFNA3A"
"Polydactyly, preaxial, type IV, 174700 (3)","PAPA"
"Schindler disease, type III, 609241 (3)","NAGA"
"Combined oxidative phosphorylation deficiency 3, 610505 (3)","TSFM"
"Hypoprothrombinemia, 613679 (3)","RPRGL2"
"Cervical carcinoma (2)","ST3"
"{Sudden infant death syndrome, susceptibility to}, 272120 (3)","LQT3"
"Thyroid hormone resistance, autosomal recessive, 274300 (3)","THR1"
"Endometrial cancer, familial, 608089 (3)","GTBP"
"Stormorken syndrome, 185070 (3)","STRMK"
"Czech dysplasia, 609162 (3)","COL2A1"
"?Combined oxidative phosphorylation deficiency 22, 616045 (3)","COXPD22"
"?Myasthenic syndrome, congenital, 23, presynaptic, 618197 (3)","CMS23"
"Hydrocephalus, congenital, 3, with brain anomalies, 617967 (3)","HYC3"
"SHORT syndrome, 269880 (3)","IMD36"
"Leber congenital amaurosis 7, 613829 (3)","CRD"
"Vitamin D-dependent rickets, type I, 264700 (3)","VDD1"
"Myopathy, myofibrillar, 1, 601419 (3)","DES"
"Prieto syndrome (2)","MRXS2"
"{Major affective disorder-8, susceptibility to} (2)","MAFD8"
"?Spinocerebellar ataxia 46, 617770 (3)","HUK4"
"{HIV-1, susceptibility to}, 609423 (3)","IL10"
"Macular dystrophy, patterned, 1, 169150 (3)","PRPH2"
"Cerebrooculofacioskeletal syndrome 1, 214150 (3)","UVSS1"
"{Exfoliation syndrome, susceptibility to}, 177650 (3)","LOXL"
"Achalasia-addisonianism-alacrimia syndrome, 231550 (3)","AAAS"
"{Obesity, susceptibility to, BMIQ4}, 607447 (3)","BMIQ4"
"[Birth weight QTL 3] (2)","FGQTL6"
"Schneckenbecken dysplasia, 269250 (3)","UGTREL7"
"Dejerine-Sottas disease, 145900 (3)","KROX20"
"Dyskeratosis congenita, autosomal recessive 5, 615190 (3)","KIAA1088"
"LEOPARD syndrome 2, 611554 (3)","RAF1"
"{Sick sinus syndrome 3}, 614090 (3)","MYHCA"
"Surfactant metabolism dysfunction, pulmonary, 5, 614370 (3)","SMDP5"
"?Epilepsy, familial adult myoclonic, 6, 618074 (3)","GW182"
"Conotruncal heart malformations, variable, 217095 (3)","CSX"
"Thrombocytopenia 2, 188000 (3)","KIAA1074"
"Deafness , autosomal recessive 86, 614617 (3)","FIME"
"Glomerulosclerosis, focal segmental, 2, 603965 (3)","TRP6"
"{Epilepsy, childhood absence, susceptibility to, 5}, 612269 (3)","EIEE43"
"Oocyte maturation defect 4, 617743 (3)","PAT1A"
"Cavernous malformations of CNS and retina, 116860 (3)","KRIT1"
"Diabetes mellitus, noninsulin-dependent, late onset, 125853 (3)","GCK"
"Pancreatic cancer/melanoma syndrome, 606719 (3)","CDKN2A"
"Polydactyly, preaxial type II, 174500 (3)","LSS"
"[Blood group, Lutheran null], 247420 (3)","LU"
"{Breast cancer, susceptibility to}, 114480 (3)","CHK2"
"Pontocerebellar hypoplasia type 2D, 613811 (3)","SLA"
"Boucher-Neuhauser syndrome, 215470 (3)","BNHS"
"Combined SAP deficiency, 611721 (3)","SAP1"
"Inflammatory bowel disease 28, early onset, autosomal recessive, 613148 (3)","IL10R"
"[Premature chromatid separation trait], 176430 (3)","BUBR1"
"{Coronary artery spasm 2, susceptibility to (3)","ESA"
"{Diabetes, type 1, susceptibility to}, 222100 (2)","ITPR3"
"Cortical dysplasia, complex, with other brain malformations 1, 614039 (3)","TUBB4"
"?Uruguay faciocardiomusculoskeletal syndrome, 300280 (3)","XMPMA"
"Renal tubular acidosis, distal, AD, 179800 (3)","AE1"
"Wolcott-Rallison syndrome, 226980 (3)","PEK"
"Zimmermann-Laband syndrome 2, 616455 (3)","VPP3"
"?Spinocerebellar ataxia, autosomal recessive 22, 616948 (3)","VWA3B"
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1, 604377 (3)","SCO2"
"3-methylglutaconic aciduria, type VIII, 617248 (3)","HTRA2"
"Acrodysostosis 2, with or without hormone resistance, 614613 (3)","STRK1"
"Mucopolysaccharidosis II, 309900 (3)","SIDS"
"Hypospadias 1, X-linked, 300633 (3)","KD"
"Macrocephaly, alopecia, cutis laxa, and scoliosis, 613075 (3)","RIN2"
"{Graft-versus-host disease, protection against}, 614395 (3)","GVHDS"
"?Lethal congenital contractural syndrome 2, 607598 (3)","FERLK"
"Myopathy, myofibrillar, 4, 609452 (3)","LVNC3"
"{Aneurysm, intracranial berry, 10} (2)","ANIB10"
"Charcot-Marie-Tooth disease, X-linked recessive, 5, 311070 (3)","PRPS1"
"CPT II deficiency, infantile, 600649 (3)","IIAE4"
"Xanthinuria, type II, 603592 (3)","XAN2"
"{Breast-ovarian cancer, familial, susceptibility to, 4}, 614291 (3)","BROVCA4"
"Peeling skin syndrome 4, 607936 (3)","STF1"
"Immunodeficiency 21, 614172 (3)","IMD21"
"Renal tubular dysgenesis, 267430 (3)","ACE"
"Mental retardation, autosomal dominant 41 , 616944 (3)","TBLR1"
"{Diabetes mellitus, type 2, susceptibility to}, 125853 (3)","BIR"
"{Parkinson disease 16} (2)","PARK16"
"Cardiomyopathy, hypertrophic 6, 600858 (3)","WPWS"
"Tetralogy of Fallot, 187500 (3)","VSD1"
"Ciliary dyskinesia, primary, 1, with or without situs inversus, 244400 (3)","ICS"
"Charcot-Marie-Tooth disease, axonal, type 20, 614228 (3)","DYNC1H1"
"?Mitochondrial complex I deficiency, 252010 (3)","UQOR22"
"{Malaria, vivax, protection against}, 611162 (3)","WBCQ1"
"Mast syndrome, 248900 (3)","MAST"
"Lesch-Nyhan syndrome, 300322 (3)","HPRT"
"Joubert syndrome 18, 614815 (3)","OFD4"
"?Urocanase deficiency, 276880 (3)","UROCD"
"Wolcott-Rallison syndrome, 226980 (3)","EIF2AK3"
"[Blood group, Rodgers], 614374 (3)","C4AD"
"Hypercalcemia, infantile, 2, 616963 (3)","SLC17A2"
"Ichthyosis, congenital, autosomal recessive 13, 617574 (3)","SDR9C7"
"[Blood group, John-Milton-Hagen system], 614745 (3)","SEMAL"
"Atrial septal defect 6, 613087 (3)","TLL1"
"{Asthma-related traits, susceptibility to, 7}, 611960 (3)","GP39"
"C syndrome, 211750 (3)","TACTILE"
"Corneal dystrophy, gelatinous drop-like, 204870 (3)","TACSTD2"
"{Mycobacterium tuberculosis, susceptibility to}, 607948 (3)","SCYA2"
"{Lipodystrophy, partial, acquired, susceptibility to}, 608709 (3)","LMNB2"
"Cardiomyopathy, familial restrictive 5, 617047 (3)","MPD4"
"Epileptic encephalopathy, early infantile, 12, 613722 (3)","EIEE12"
"Neurodevelopmental disorder with poor language and loss of hand skills, 617903 (3)","NDPLHS"
"Bardet-Biedl syndrome 10, 615987 (3)","C12orf58"
"Townes-Brocks branchiootorenal-like syndrome, 107480 (3)","TBS"
"Neuropathy, hereditary, with or without age-related macular degeneration, 608895 (3)","ARCL1A"
"Aniridia, 106210 (3)","ASGD5"
"Epilepsy, familial focal, with variable foci 1, 604364 (3)","FFEVF1"
"Dementia, familial Danish, 117300 (3)","ABRI"
"Adenomas, salivary gland pleomorphic, somatic, 181030 (3)","PSA"
"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2, 610185 (3)","WDR81"
"Congenital disorder of glycosylation, type Ij, 608093 (3)","CDG1J"
"Diamond-Blackfan anemia 4, 612527 (3)","RPS17L2"
"?Epileptic encephalopathy, early infantile, 15, 615006 (3)","EIEE15"
"Hypodysfibrinogenemia, 616004 (3)","FGG"
"Pick disease, 172700 (3)","MSTD"
"Deafness, autosomal dominant 3A, 601544 (3)","HID"
"Charcot-Marie-Tooth disease, type 1B, 118200 (3)","CMTDID"
"Congenital heart defects, nonsyndromic, 1, X-linked, 306955 (3)","ZIC3"
"Leber congenital amaurosis 3, 604232 (3)","LCA3"
"Cholestasis, progressive familial intrahepatic 1, 211600 (3)","ATP8B1"
"Orotic aciduria, 258900 (3)","UMPS"
"Muckle-Wells syndrome, 191900 (3)","PYPAF1"
"Colon cancer, somatic, 114500 (3)","PTPRJ"
"Orofaciodigital syndrome XVI, 617563 (3)","JBTS29"
"{Strabismus, susceptibility to, 1} (2)","STBMS1"
"Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3, 604292 (3)","SHFM4"
"Neurodevelopmental disorder with hypotonia, seizures, and absent language, 617268 (3)","KIAA1301"
"Bronchiectasis with or without elevated sweat chloride 1, 211400 (3)","BESC1"
"C9 deficiency, 613825 (3)","C9"
"Keratolytic winter erythema (2)","KWE"
"Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal dominant, 614254 (3)","GRIN1"
"?Hip dysplasia, Beukes type, 142669 (3)","C4orf20"
"Parasomnia, sleepwalking type (2)","PSMNSW"
"Ectodermal dysplasia 11A, hypohidrotic/hair/tooth type, autosomal dominant, 614940 (3)","EDA3"
"Leukemia, megakaryoblastic, with or without Down syndrome, somatic, 190685 (3)","XLTT"
"Bernard-Soulier syndrome, type B, 231200 (3)","BS"
"Cardiomyopathy, dilated, 1C, with or without LVNC, 601493 (3)","LDB3"
"Thrombophilia due to thrombin defect, 188050 (3)","THPH1"
"{Autoimmune disease, susceptibility to, 6}, 613551 (3)","AIS6"
"Muscular dystrophy, congenital, megaconial type, 602541 (3)","MDCMC"
"Choreoathetosis, hypothyroidism, and neonatal respiratory distress, 610978 (3)","TITF1"
"Glycine N-methyltransferase deficiency, 606664 (3)","GNMT"
"Myopia 13 (2)","MYP13"
"Spinocerebellar ataxia 17, 607136 (3)","HDL4"
"Proud syndrome, 300004 (3)","ISSX"
"Charcot-Marie-Tooth disease, type 4D, 601455 (3)","HMSNL"
"Kleefstra syndrome 1, 610253 (3)","DEL9q34"
"Lymphoproliferative syndrome 1, 613011 (3)","ITK"
"Dandy-Walker syndrome (4)","C3DELq22q24"
"Spastic paraplegia 52, autosomal recessive, 614067 (3)","CPSQ6"
"Esophageal squamous cell carcinoma, 133239 (3)","FEZ1"
"Epileptic encephalopathy, early infantile, 3, 609304 (3)","GC1"
"Cataract 1, multiple types, 116200 (3)","CX50"
"Dysprothrombinemia, 613679 (3)","F2"
"{Macular degeneration, age-related, 7}, 610149 (3)","ARMD7"
"?Mental retardation, autosomal recessive, 37, 615493 (3)","MRT37"
"Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3)","CMTRIC"
"Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies, 617527 (3)","PLAP"
"Deafness, autosomal recessive 68, 610419 (3)","EDG5"
"Porokeratosis 8, disseminated superficial actinic type, 616063 (3)","POROK8"
"Reticular dysgenesis, 267500 (3)","AK2"
"Cardiomyopathy, dilated, 1EE, 613252 (3)","CMH14"
"Galloway-Mowat syndrome 3, 617729 (3)","FLJ20411"
"{Alzheimer disease, late-onset, susceptibility to}, 104300 (3)","QPD"
"Coffin-Siris syndrome 6, 617808 (3)","KIAA1557"
"Erythrocyte lactate transporter defect, 245340 (3)","MCT1D"
"Microphthalmia, isolated, with coloboma 10, 616428 (3)","MCOPCB10"
"Cardiomyopathy, dilated, 3B, 302045 (3)","BMD"
"{Breast-ovarian cancer, familial, 1}, 604370 (3)","BROVCA1"
"[Uric acid concentration, serum, QTL4], 612671 (3)","SLC17A3"
"Dystonia 26, myoclonic, 616398 (3)","KCTD17"
"Ethylmalonic encephalopathy, 602473 (3)","ETHE1"
"Glycine encephalopathy, 605899 (3)","GCE"
"?Hermansky-Pudlak syndrome 10, 617050 (3)","HPS10"
"Anemia, sideroblastic, 2, pyridoxine-refractory, 205950 (3)","SIDBA2"
"Leber congenital amaurosis 18, 608133 (3)","PRPH"
"Mental retardation, autosomal recessive 54, 617028 (3)","KIAA0551"
"?Slowed nerve conduction velocity, AD, 608236 (3)","KIAA0294"
"Mismatch repair cancer syndrome, 276300 (3)","HNPCC4"
"?Myasthenic syndrome, congenital, 3A, slow-channel, 616321 (3)","ACHRD"
"Emery-Dreifuss muscular dystrophy 3, autosomal recessive, 616516 (3)","HGPS"
"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 2, 613158 (3)","POMT2"
"Ectodermal dysplasia and immunodeficiency, 612132 (3)","IKBA"
"Mental retardation, autosomal dominant 26, 615834 (3)","MRD26"
"Beare-Stevenson cutis gyrata syndrome, 123790 (3)","CFD1"
"Peroxisome biogenesis disorder 1B (NALD/IRD), 601539 (3)","PEX1"
"[Blood group, Dombrock], 616060 (3)","DO"
"Neutropenia, cyclic, 162800 (3)","SCN1"
"{Migraine with or without aura, susceptibility to, 6} (2)","FHM3"
"Congenital short bowel syndrome, 300048 (3)","FLNA"
"Patella aplasia or hypoplasia (2)","FPAH"
"{Hemorrhage, intracerebral, susceptibility to}, 614519 (3)","HANAC"
"{Parkinson disease, susceptibility to}, 168600 (3)","ADH3"
"{Diabetes mellitus, noninsulin-dependent, 2}, 125853 (3)","HNF1A"
"Lenz-Majewski hyperostotic dwarfism, 151050 (3)","PTDSS1"
"Optic nerve hypoplasia and abnormalities of the central nervous system, 206900 (3)","MCOPS3"
"Symmetric circumferential skin creases, congenital, 1, 156610 (3)","M40"
"Ciliary dyskinesia, primary, 25, 615482 (3)","DYX1"
"?Spondylocostal dysostosis 6, 616566 (3)","C6orf59"
"Estrogen resistance, 615363 (3)","ESR1"
"Myoclonus, intractable, neonatal, 617235 (3)","KIF5A"
"{Hirschsprung disease, susceptibility to, 6} (2)","HSCR6"
"Cerebral amyloid angiopathy, 105150 (3)","CST3"
"Gastric cancer, somatic, 613659 (3)","CLAPO"
"Dentinogenesis imperfecta, Shields type II, 125490 (3)","DTDP2"
"Acrocallosal syndrome, 200990 (3)","HLS2"
"Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869 (3)","CTRCT16"
"Amyotrophic lateral sclerosis 17, 614696 (3)","CHMP2B"
"?Mitochondrial complex IV deficiency, 220110 (3)","COA7"
"Limb-mammary syndrome, 603543 (3)","RHS"
"ACTH-independent macronodular adrenal hyperplasia, 219080 (3)","GPSA"
"Cortisone reductase deficiency 2, 614662 (3)","HSD11B1"
"{Systemic lupus erythematosus, susceptibility to, 3} (2)","SLEB3"
"Mitochondrial DNA depletion syndrome 7 (hepatocerebral type), 271245 (3)","C10orf2"
"Pseudoxanthoma elasticum, 264800 (3)","ABC34"
"?Immunodeficiency 39, 616345 (3)","IRF7C"
"Oguchi disease-1, 258100 (3)","SAG"
"Olmsted syndrome, 614594 (3)","TRPV3"
"Short QT syndrome 1, 609620 (3)","KCNH2"
"Thyroid dyshormonogenesis 3, 274700 (3)","TDH3"
"Hypocalciuric hypercalcemia, type I, 145980 (3)","EIG8"
"Camptodactyly-arthropathy-coxa vara-pericarditis syndrome, 208250 (3)","CACP"
"CARASIL syndrome, 600142 (3)","CADASIL2"
"COACH syndrome, 216360 (3)","KIAA1005"
"Bardet-Biedl syndrome 9, 615986 (3)","BBS9"
"Mismatch repair cancer syndrome, 276300 (3)","HNPCC1"
"Megakaryoblastic leukemia, acute (2)","RBM15"
"Nystagmus 6, congenital, X-linked, 300814 (3)","GPR143"
"Spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy, 617560 (3)","NKX6.2"
"?Spastic ataxia 4, autosomal recessive, 613672 (3)","SPAX4"
"Usher syndrome, type 3A, 276902 (3)","USH3A"
"Cenani-Lenz syndactyly syndrome, 212780 (3)","CMS17"
"{Asthma, susceptibility to}, 600807 (3)","MRT51"
"Primary lateral sclerosis, juvenile, 606353 (3)","ALS2"
"?Amyotrophic lateral sclerosis 16, juvenile, 614373 (3)","DSMA2"
"Severe combined immunodeficiency, Athabascan type, 602450 (3)","DCLRE1C"
"Hutchinson-Gilford progeria, 176670 (3)","LMN1"
"Left ventricular noncompaction 7, 615092 (3)","KIAA1323"
"?FG syndrome 2, 300321 (3)","CVD1"
"White sponge nevus 1, 193900 (3)","WSN1"
"Mosaic variegated aneuploidy syndrome 2, 614114 (3)","TSP57"
"?Autoimmune lymphoproliferative syndrome, type IIB, 607271 (3)","CASP8"
"Myopia, high, with cataract and vitreoretinal degeneration, 614292 (3)","MCVD"
"Ovarioleukodystrophy, 603896 (3)","CLE"
"Deafness, autosomal recessive (3)","DFNA2B"
"Luscan-Lumish syndrome, 616831 (3)","HYPB"
"Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gistelinck type, 616897 (3)","CMVFR"
"Mitochondrial complex III deficiency, nuclear type 6, 615453 (3)","CYC1"
"Epiphyseal dysplasia, multiple, 2, 600204 (3)","COL9A2"
"Leukemia, acute promyelocytic, PL2F/RARA type (3)","ZBTB16"
"Arthrogryposis, distal, type 8, 178110 (3)","DA2B"
"Bardet-Biedl syndrome 16, 615993 (3)","BBS16"
"Congenital disorder of glycosylation, type IIg, 611209 (3)","KIAA1381"
"Kenny-Caffey syndrome, type 1, 244460 (3)","KCS"
"Scalp-ear-nipple syndrome, 181270 (3)","KCTD1"
"Colorectal cancer, 114500 (3)","TP53"
"?Anemia, hypochromic microcytic, with iron overload 2, 615234 (3)","STEAP3"
"Multiple congenital anomalies-hypotonia-seizures syndrome 3, 615398 (3)","MCAHS3"
"Premature ovarian failure 7, 612964 (3)","SRXY3"
"Orofacial cleft 5, 608874 (3)","STHAG1"
"Pontocerebellar hypoplasia type 4, 225753 (3)","PCH2A"
"Spastic paraplegia 54, autosomal recessive, 615033 (3)","SPG54"
"Nestor-Guillermo progeria syndrome, 614008 (3)","NGPS"
"Immunodeficiency, common variable, 7, 614699 (3)","C3DR"
"Leukodystrophy, hypomyelinating, 3, 260600 (3)","HLD3"
"Schwartz-Jampel syndrome, type 1, 255800 (3)","SJS"
"Lipoyltransferase 1 deficiency, 616299 (3)","LIPT1D"
"[Hair morphology 1, hair thickness], 612630 (3)","HRM1"
"Niemann-pick disease, type C2, 607625 (3)","NPC2"
"Macroglobulinemia, Waldenstrom, somatic, 153600 (3)","MYD88D"
"Mental retardation, autosomal dominant 41 , 616944 (3)","IRA1"
"Deafness, autosomal recessive 8/10, 601072 (3)","TMPRSS3"
"Autoinflammation with infantile enterocolitis, 616050 (3)","FCAS4"
"Craniometaphyseal dysplasia, 123000 (3)","ANKH"
"Migraine, familial basilar, 602481 (3)","MHP2"
"Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3)","HMSN6A"
"Retinitis pigmentosa, X-linked, and sinorespiratory infections, with or without deafness, 300455 (3)","RP15"
"Synpolydactyly 1, 186000 (3)","SPD1"
"Cardiomyopathy, dilated, 1KK, 615248 (3)","CMD1DD"
"Stargardt disease 3, 600110 (3)","SCA34"
"Interstitial lung and liver disease, 615486 (3)","CMT2U"
"Feingold syndrome 2, 614326 (3)","FGLDS2"
"Night blindness, congenital stationary (complete), 1C, autosomal recessive, 613216 (3)","MLSN1"
"Complement factor I deficiency, 610984 (3)","AHUS3"
"Hypophosphatemic rickets, 300554 (3)","CLCK2"
"Hypoplastic or aplastic tibia with polydactyly, 188740 (3)","THYP"
"Microphthalmia, isolated, with coloboma 10, 616428 (3)","RDCCAS"
"Leukoencephalopathy with vanishing white matter, 603896 (3)","EIF2BA"
"Charcot-Marie-Tooth disease, type 2J, 607736 (3)","CHN2"
"Mental retardation, X-linked syndromic, Turner type, 300706 (3)","KIAA0312"
"Breast cancer, somatic, 114480 (3)","SLC22A1L"
"Noonan syndrome 4, 610733 (3)","GF1"
"Failure of tooth eruption, primary, 125350 (3)","PTHR"
"Dyssegmental dysplasia, Silverman-Handmaker type, 224410 (3)","SJS"
"?Periventricular nodular heterotopia 6, 615544 (3)","PVNH6"
"Spastic paraplegia 53, autosomal recessive, 614898 (3)","SPG53"
"[Fasting plasma glucose level QTL 6] (2)","BWQTL3"
"Neurofibromatosis-Noonan syndrome, 601321 (3)","VRNF"
"{Myocardial infarction, susceptibility to}, 608446 (3)","GT"
"Spastic paraplegia 44, autosomal recessive, 613206 (3)","LMPH1C"
"Purpura, posttransfusion (3)","GT"
"?Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus, 616192 (3)","DNAJC3"
"Leukemia, acute myeloid, somatic, 601626 (3)","CLTH"
"{Nonarteritic anterior ischemic optic neuropathy, susceptibility to}, 258660 (3)","BSS"
